num_ret               	051	1000
num_rel               	051	32
num_rel_ret           	051	32
map                   	051	0.8199
Rprec                 	051	0.7500
bpref                 	051	1.0000
recip_rank            	051	1.0000
iprec_at_recall_0.00  	051	1.0000
iprec_at_recall_0.10  	051	1.0000
iprec_at_recall_0.20  	051	1.0000
iprec_at_recall_0.30  	051	1.0000
iprec_at_recall_0.40  	051	1.0000
iprec_at_recall_0.50  	051	1.0000
iprec_at_recall_0.60  	051	1.0000
iprec_at_recall_0.70  	051	0.8846
iprec_at_recall_0.80  	051	0.6341
iprec_at_recall_0.90  	051	0.1737
iprec_at_recall_1.00  	051	0.1036
P_5                   	051	1.0000
P_10                  	051	1.0000
P_15                  	051	1.0000
P_20                  	051	1.0000
P_30                  	051	0.8000
P_100                 	051	0.2800
P_200                 	051	0.1500
P_500                 	051	0.0640
P_1000                	051	0.0320
relstring             	051	'1111111111'
recall_5              	051	0.1562
recall_10             	051	0.3125
recall_15             	051	0.4688
recall_20             	051	0.6250
recall_30             	051	0.7500
recall_100            	051	0.8750
recall_200            	051	0.9375
recall_500            	051	1.0000
recall_1000           	051	1.0000
infAP                 	051	0.8199
Rprec_mult_0.20       	051	1.0000
Rprec_mult_0.40       	051	1.0000
Rprec_mult_0.60       	051	1.0000
Rprec_mult_0.80       	051	0.8846
Rprec_mult_1.00       	051	0.7500
Rprec_mult_1.20       	051	0.6410
Rprec_mult_1.40       	051	0.5778
Rprec_mult_1.60       	051	0.5000
Rprec_mult_1.80       	051	0.4483
Rprec_mult_2.00       	051	0.4062
utility               	051	-936.0000
11pt_avg              	051	0.7996
binG                  	051	0.7433
G                     	051	0.7433
ndcg                  	051	0.9523
ndcg_rel              	051	0.9681
Rndcg                 	051	0.8891
ndcg_cut_5            	051	1.0000
ndcg_cut_10           	051	1.0000
ndcg_cut_15           	051	1.0000
ndcg_cut_20           	051	1.0000
ndcg_cut_30           	051	0.8617
ndcg_cut_100          	051	0.8986
ndcg_cut_200          	051	0.9264
ndcg_cut_500          	051	0.9523
ndcg_cut_1000         	051	0.9523
map_cut_5             	051	0.1562
map_cut_10            	051	0.3125
map_cut_15            	051	0.4688
map_cut_20            	051	0.6250
map_cut_30            	051	0.7388
map_cut_100           	051	0.8025
map_cut_200           	051	0.8127
map_cut_500           	051	0.8199
map_cut_1000          	051	0.8199
relative_P_5          	051	1.0000
relative_P_10         	051	1.0000
relative_P_15         	051	1.0000
relative_P_20         	051	1.0000
relative_P_30         	051	0.8000
relative_P_100        	051	0.8750
relative_P_200        	051	0.9375
relative_P_500        	051	1.0000
relative_P_1000       	051	1.0000
success_1             	051	1.0000
success_5             	051	1.0000
success_10            	051	1.0000
set_P                 	051	0.0320
set_relative_P        	051	1.0000
set_recall            	051	1.0000
set_map               	051	0.0320
set_F                 	051	0.0620
num_nonrel_judged_ret 	051	0
num_ret               	052	1000
num_rel               	052	278
num_rel_ret           	052	246
map                   	052	0.7118
Rprec                 	052	0.6619
bpref                 	052	0.8849
recip_rank            	052	1.0000
iprec_at_recall_0.00  	052	1.0000
iprec_at_recall_0.10  	052	1.0000
iprec_at_recall_0.20  	052	0.9692
iprec_at_recall_0.30  	052	0.9560
iprec_at_recall_0.40  	052	0.9421
iprec_at_recall_0.50  	052	0.9108
iprec_at_recall_0.60  	052	0.8227
iprec_at_recall_0.70  	052	0.5603
iprec_at_recall_0.80  	052	0.3452
iprec_at_recall_0.90  	052	0.0000
iprec_at_recall_1.00  	052	0.0000
P_5                   	052	1.0000
P_10                  	052	1.0000
P_15                  	052	1.0000
P_20                  	052	1.0000
P_30                  	052	1.0000
P_100                 	052	0.9500
P_200                 	052	0.8250
P_500                 	052	0.4300
P_1000                	052	0.2460
relstring             	052	'1111111111'
recall_5              	052	0.0180
recall_10             	052	0.0360
recall_15             	052	0.0540
recall_20             	052	0.0719
recall_30             	052	0.1079
recall_100            	052	0.3417
recall_200            	052	0.5935
recall_500            	052	0.7734
recall_1000           	052	0.8849
infAP                 	052	0.7118
Rprec_mult_0.20       	052	0.9821
Rprec_mult_0.40       	052	0.9375
Rprec_mult_0.60       	052	0.8862
Rprec_mult_0.80       	052	0.7892
Rprec_mult_1.00       	052	0.6619
Rprec_mult_1.20       	052	0.5778
Rprec_mult_1.40       	052	0.5179
Rprec_mult_1.60       	052	0.4629
Rprec_mult_1.80       	052	0.4291
Rprec_mult_2.00       	052	0.3903
utility               	052	-508.0000
11pt_avg              	052	0.6824
binG                  	052	0.3577
G                     	052	0.3577
ndcg                  	052	0.8773
ndcg_rel              	052	0.9074
